_id,date,site,parameter,index_value,description,health_advisory,health_effects
1,2016-01-01,Lawrenceville,PM25B,25,Good,,
2,2016-01-01,Flag Plaza,CO,0,Good,,
3,2016-01-01,Harrison Township,OZONE,31,Good,,
4,2016-01-01,Avalon,SO2,10,Good,,
5,2016-01-01,Lincoln,PM25,35,Good,,
6,2016-01-01,Lincoln,PM10,11,Good,,
7,2016-01-01,South Fayette,SO2,3,Good,,
8,2016-01-01,North Braddock,PM10B,12,Good,,
9,2016-01-01,Parkway East,CO,4,Good,,
10,2016-01-01,Flag Plaza,PM10,7,Good,,
11,2016-01-01,Liberty 2,PM25(2),28,Good,,
12,2016-01-01,Lawrenceville 2,SO2,1,Good,,
13,2016-01-01,Lawrenceville 2,CO,2,Good,,
14,2016-01-01,Harrison Township,NO2,3,Good,,
15,2016-01-01,Parkway East,NO2,6,Good,,
16,2016-01-01,Lawrenceville,OZONE,31,Good,,
17,2016-01-01,Liberty 2,PM10,6,Good,,
18,2016-01-01,Parkway East,PM25T,30,Good,,
19,2016-01-01,North Braddock,SO2,1,Good,,
20,2016-01-01,Glassport High Street,PM10,6,Good,,
21,2016-01-01,Liberty,SO2,3,Good,,
22,2016-01-02,North Braddock,PM10B,14,Good,,
23,2016-01-02,Lawrenceville,PM25B,40,Good,,
24,2016-01-02,South Fayette,SO2,3,Good,,
25,2016-01-02,Parkway East,CO,4,Good,,
26,2016-01-02,Lawrenceville 2,CO,2,Good,,
27,2016-01-02,Parkway East,NO2,8,Good,,
28,2016-01-02,Liberty 2,PM10,8,Good,,
29,2016-01-02,Lincoln,PM10,18,Good,,
30,2016-01-02,Lawrenceville,OZONE,21,Good,,
31,2016-01-02,Glassport High Street,PM10,6,Good,,
32,2016-01-02,Lincoln,PM25,52,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
33,2016-01-02,Parkway East,PM25T,39,Good,,
34,2016-01-02,Liberty,SO2,23,Good,,
35,2016-01-02,Flag Plaza,CO,0,Good,,
36,2016-01-02,Harrison Township,OZONE,22,Good,,
37,2016-01-02,Flag Plaza,PM10,7,Good,,
38,2016-01-02,Avalon,SO2,56,Moderate,,
39,2016-01-02,Lawrenceville 2,SO2,5,Good,,
40,2016-01-02,Harrison Township,NO2,18,Good,,
41,2016-01-02,Liberty 2,PM25(2),42,Good,,
42,2016-01-02,North Braddock,SO2,9,Good,,
43,2016-01-03,Parkway East,CO,6,Good,,
44,2016-01-03,Parkway East,NO2,11,Good,,
45,2016-01-03,Flag Plaza,PM10,6,Good,,
46,2016-01-03,Lawrenceville 2,SO2,2,Good,,
47,2016-01-03,North Braddock,PM10B,16,Good,,
48,2016-01-03,Lawrenceville,PM25B,35,Good,,
49,2016-01-03,Lincoln,PM10,20,Good,,
50,2016-01-03,Liberty 2,PM25(2),33,Good,,
51,2016-01-03,South Fayette,SO2,3,Good,,
52,2016-01-03,Flag Plaza,CO,0,Good,,
53,2016-01-03,Liberty,SO2,20,Good,,
54,2016-01-03,Harrison Township,NO2,7,Good,,
55,2016-01-03,Harrison Township,OZONE,26,Good,,
56,2016-01-03,Lincoln,PM25,38,Good,,
57,2016-01-03,Avalon,SO2,40,Good,,
58,2016-01-03,North Braddock,SO2,7,Good,,
59,2016-01-03,Lawrenceville,OZONE,28,Good,,
60,2016-01-03,Glassport High Street,PM10,6,Good,,
61,2016-01-03,Parkway East,PM25T,38,Good,,
62,2016-01-03,Lawrenceville 2,CO,3,Good,,
63,2016-01-03,Liberty 2,PM10,10,Good,,
64,2016-01-04,Flag Plaza,CO,0,Good,,
65,2016-01-04,North Braddock,PM10B,11,Good,,
66,2016-01-04,Lawrenceville,PM25B,20,Good,,
67,2016-01-04,Harrison Township,NO2,4,Good,,
68,2016-01-04,Harrison Township,OZONE,31,Good,,
69,2016-01-04,Flag Plaza,PM10,12,Good,,
70,2016-01-04,Lincoln,PM25,15,Good,,
71,2016-01-04,North Braddock,SO2,1,Good,,
72,2016-01-04,Liberty 2,PM25(2),22,Good,,
73,2016-01-04,Lawrenceville 2,SO2,1,Good,,
74,2016-01-04,South Fayette,SO2,4,Good,,
75,2016-01-04,Parkway East,CO,5,Good,,
76,2016-01-04,Glassport High Street,PM10,6,Good,,
77,2016-01-04,Avalon,SO2,1,Good,,
78,2016-01-04,Liberty,SO2,0,Good,,
79,2016-01-04,Lawrenceville 2,CO,2,Good,,
80,2016-01-04,Lawrenceville,OZONE,29,Good,,
81,2016-01-04,Liberty 2,PM10,6,Good,,
82,2016-01-04,Parkway East,PM25T,18,Good,,
83,2016-01-04,Parkway East,NO2,15,Good,,
84,2016-01-04,Lincoln,PM10,12,Good,,
85,2016-01-05,Flag Plaza,CO,0,Good,,
86,2016-01-05,Harrison Township,OZONE,18,Good,,
87,2016-01-05,Lawrenceville,PM25B,54,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
88,2016-01-05,Avalon,SO2,21,Good,,
89,2016-01-05,Liberty,SO2,21,Good,,
90,2016-01-05,Harrison Township,NO2,28,Good,,
91,2016-01-05,Lincoln,PM25,49,Good,,
92,2016-01-05,North Braddock,SO2,20,Good,,
93,2016-01-05,North Braddock,PM10B,24,Good,,
94,2016-01-05,Lincoln,PM10,19,Good,,
95,2016-01-05,Liberty 2,PM25(2),44,Good,,
96,2016-01-05,Lawrenceville 2,SO2,27,Good,,
97,2016-01-05,South Fayette,SO2,11,Good,,
98,2016-01-05,Parkway East,CO,7,Good,,
99,2016-01-05,Glassport High Street,PM10,9,Good,,
100,2016-01-05,Parkway East,NO2,27,Good,,
101,2016-01-05,Lawrenceville 2,CO,7,Good,,
102,2016-01-05,Lawrenceville,OZONE,17,Good,,
103,2016-01-05,Liberty 2,PM10,11,Good,,
104,2016-01-05,Parkway East,PM25T,46,Good,,
105,2016-01-05,Flag Plaza,PM10,20,Good,,
106,2016-01-06,Flag Plaza,CO,0,Good,,
107,2016-01-06,Glassport High Street,PM10,46,Good,,
108,2016-01-06,Lincoln,PM25,139,Unhealthy for Sensitive Groups,"People with heart or lung disease, older adults, and children should reduce prolonged or heavy exertion.","Increasing likelihood of respiratory symptoms in sensitive individuals, aggravation of heart or lung disease and premature mortality in people with cardiopulmonary disease and older adults."
109,2016-01-06,Liberty 2,PM25(2),118,Unhealthy for Sensitive Groups,"People with heart or lung disease, older adults, and children should reduce prolonged or heavy exertion.","Increasing likelihood of respiratory symptoms in sensitive individuals, aggravation of heart or lung disease and premature mortality in people with cardiopulmonary disease and older adults."
110,2016-01-06,Parkway East,NO2,29,Good,,
111,2016-01-06,Lincoln,PM10,70,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
112,2016-01-06,Liberty 2,PM10,49,Good,,
113,2016-01-06,Parkway East,CO,8,Good,,
114,2016-01-06,Harrison Township,OZONE,13,Good,,
115,2016-01-06,Lawrenceville,OZONE,9,Good,,
116,2016-01-06,Lawrenceville,PM25B,71,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
117,2016-01-06,Avalon,SO2,6,Good,,
118,2016-01-06,Liberty,SO2,36,Good,,
119,2016-01-06,Lawrenceville 2,CO,11,Good,,
120,2016-01-06,North Braddock,SO2,21,Good,,
121,2016-01-06,Harrison Township,NO2,34,Good,,
122,2016-01-06,Flag Plaza,PM10,42,Good,,
123,2016-01-06,North Braddock,PM10B,40,Good,,
124,2016-01-06,Parkway East,PM25T,61,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
